service_id,date,exception_type
"1#1","20210310","2"
"1#1","20210315","2"
"1#1","20210322","2"
"1#1","20210324","2"
"1#1","20210329","2"
"1#1","20210331","2"
"1#1","20210407","2"
"1#1","20210411","2"
"1#1","20210412","2"
"1#1","20210414","2"
"1#1","20210418","2"
"1#1","20210419","2"
"1#1","20210421","2"
"1#1","20210425","2"
"1#1","20210426","2"
"1#1","20210428","2"
"1#1","20210502","2"
"1#1","20210503","2"
"1#1","20210505","2"
"1#1","20210509","2"
"1#1","20210510","2"
"1#1","20210512","2"
"1#1","20210516","2"
"1#1","20210517","2"
"1#1","20210519","2"
"1#1","20210523","2"
"1#1","20210524","2"
"1#1","20210526","2"
"1#1","20210530","2"
"1#1","20210531","2"
"1#1","20210602","2"
"1#1","20210606","2"
"1#1","20210607","2"
"1#1","20210609","2"
"1#1","20210613","2"
"1#1","20210614","2"
"1#1","20210616","2"
"1#1","20210620","2"
"1#1","20210621","2"
"1#1","20210623","2"
"1#1","20210627","2"
"1#1","20210628","2"
"1#1","20210630","2"
"1#1","20210704","2"
"1#1","20210705","2"
"1#1","20210707","2"
"1#1","20210711","2"
"1#1","20210712","2"
"1#1","20210714","2"
"1#1","20210718","2"
"1#1","20210719","2"
"1#1","20210721","2"
"1#1","20210725","2"
"1#1","20210726","2"
"1#1","20210728","2"
"1#1","20210801","2"
"1#1","20210802","2"
"1#1","20210804","2"
"1#1","20210808","2"
"1#1","20210809","2"
"1#1","20210811","2"
"1#1","20210815","2"
"1#1","20210816","2"
"1#1","20210818","2"
"1#1","20210822","2"
"1#1","20210823","2"
"1#1","20210825","2"
"10","20210316","2"
"10","20210323","2"
"10","20210330","2"
"10","20210406","2"
"10021","20210315","2"
"10021","20210322","2"
"10021","20210329","2"
"10021","20210412","2"
"10021","20210419","2"
"10021","20210426","2"
"10021","20210510","2"
"10021","20210517","2"
"10021","20210524","2"
"10021","20210531","2"
"10021","20210614","2"
"10021","20210621","2"
"10021","20210628","2"
"10021","20210705","2"
"10021","20210712","2"
"10021","20210719","2"
"10021","20210726","2"
"10021","20210809","2"
"10021","20210816","2"
"10021","20210823","2"
"10021","20210830","2"
"10021","20210906","2"
"10023","20210310","2"
"10023","20210324","2"
"10023","20210331","2"
"10023","20210407","2"
"10023","20210414","2"
"10023","20210421","2"
"10023","20210428","2"
"10023","20210505","2"
"10023","20210512","2"
"10023","20210519","2"
"10023","20210526","2"
"10023","20210602","2"
"10023","20210609","2"
"10023","20210616","2"
"10023","20210623","2"
"10023","20210630","2"
"10023","20210707","2"
"10023","20210714","2"
"10023","20210721","2"
"10023","20210728","2"
"10023","20210804","2"
"10023","20210811","2"
"10023","20210818","2"
"10023","20210825","2"
"10023","20210901","2"
"10023","20210908","2"
"11","20210310","2"
"11","20210324","2"
"11","20210331","2"
"11","20210407","2"
"11","20210414","2"
"11","20210421","2"
"11","20210428","2"
"11","20210505","2"
"11","20210512","2"
"11","20210519","2"
"11","20210526","2"
"11#1","20210310","2"
"11#1","20210317","2"
"11#1","20210324","2"
"11#1","20210331","2"
"11#1","20210407","2"
"12","20210315","2"
"12","20210322","2"
"12","20210329","2"
"12","20210412","2"
"12","20210419","2"
"12","20210426","2"
