stop_id,stop_name,stop_lat,stop_lon
700000000000,Mount Eagles,54.552832,-6.045183
700000000001,Queens Square,54.600955,-5.923660
700000000002,Lagmore Reservoir,54.555152,-6.042798
700000000003,Station Street,54.600624,-5.918624
700000000004,Lagmore Avenue (Teeling Avenue),54.554886,-6.041874
700000000005,Short Strand (Newtownards Road),54.600146,-5.908106
700000000006,Lagmore Avenue (Glendowan Park),54.553893,-6.039826
700000000007,Tower Street,54.599795,-5.905037
700000000008,Lagmore Avenue (Glenferna),54.554147,-6.032764
700000000009,Templemore Avenue,54.599367,-5.901588
700000000010,Lagmore Meadows,54.551385,-6.031718
700000000011,Dee Street,54.598898,-5.897996
700000000012,Lagmore Drive,54.549650,-6.031949
700000000013,Ribble Street,54.598330,-5.893589
700000000014,Lagmore Dale,54.548405,-6.029103
700000000015,Connswater,54.598146,-5.892038
700000000016,Lagmore Dale,54.548348,-6.029468
700000000017,Connswater,54.597874,-5.889874
700000000018,Lagmore Drive,54.548739,-6.031766
700000000019,Holywood Arches,54.598112,-5.887511
700000000020,Lagmore Meadows,54.550946,-6.032216
700000000021,Dundela Park,54.600047,-5.884660
700000000022,Lagmore Avenue (Glenferna),54.553815,-6.032205
700000000023,Parkgate Avenue,54.601894,-5.882884
700000000024,Lagmore Avenue (Glendowan Park),54.553808,-6.039694
700000000026,Lagmore Avenue (Teeling Avenue),54.554533,-6.041685
700000000027,Connsbrook Avenue (Larkfield),54.604841,-5.880160
700000000029,Palmerston Road,54.605702,-5.876028
700000000030,Summerhill Estate,54.547009,-6.023504
700000000031,Palmerston Road (Station Road),54.607115,-5.874597
700000000032,Summerhill Drive (St.Marks),54.549810,-6.023393
700000000033,Station Road,54.608086,-5.875449
700000000034,Brook Activity Centre,54.552587,-6.021841
700000000035,Sydenham Halt,54.609335,-5.876885
700000000036,Twinbrook Road,54.554501,-6.023500
700000000037,Inverary Drive,54.610387,-5.874645
700000000038,Twinbrook Road,54.554757,-6.026078
700000000039,Inverary Playing Fields,54.609727,-5.872522
700000000041,Inverleath Drive,54.608824,-5.870391
700000000043,Carolhill,54.608366,-5.868689
700000000045,Ashfield Boys,54.610003,-5.866707
700000000047,Ashfield Girls,54.611015,-5.865439
700000000048,Black's Road (Balmoral Hotel),54.560429,-5.998549
700000000049,Blanchflower Park,54.612944,-5.863050
700000000050,Black's Road (Garnock Hill),54.562830,-6.001276
700000000051,Tillysburn,54.614666,-5.861803
700000000052,Black's Road (Brooke Drive),54.564081,-6.003983
700000000053,Knocknagoney Road,54.618916,-5.857976
700000000054,Black's Road (Black's Court),54.564347,-6.005727
700000000055,Knocknagoney Primary,54.618511,-5.854869
700000000056,Black's Road (Erris Grove),54.565750,-6.009781
700000000057,Knocknagoney Avenue,54.618219,-5.853044
700000000058,Black's Road (Ringford Park),54.566112,-6.010250
700000000060,Black's Road (Trenchard),54.565106,-6.008309
700000000061,Knocknagoney Primary,54.618729,-5.857059
700000000062,Black's Road (Brooke Drive),54.562934,-6.001116
700000000063,Knocknagoney Dale,54.619011,-5.859503
