route_id,trip_id,service_id,trip_headsign,direction_id
MET-4A,MET-0455-0,20160901-20170630-_MTWHF_-00,City Centre - Dundonald - Ballybeen,1
MET-4A,MET-0455-1,20160901-20170630-______S-00,City Centre - Dundonald - Ballybeen,1
MET-5A,MET-0505-0,20160901-20170630-_MTWHF_-00,City Centre - Braniel,1
MET-5A,MET-0505-1,20160901-20170630-______S-00,City Centre - Braniel,1
MET-1A,MET-0510,20160901-20170630-_MTWHF_-00,City Centre - Carnmoney - Fairview Road - Glenville,1
MET-10D,MET-0512-0,20160901-20170630-_MTWHF_-00,Lagmore (Mount Eagles) - City Centre,0
MET-10D,MET-0512-1,20160901-20170630-______S-00,Lagmore (Mount Eagles) - City Centre,0
MET-1A,MET-0515-0,20160901-20170630-_MTWHF_-00,Glenville - Fairview Road - Carnmoney - City Centre,0
MET-1A,MET-0515-1,20160901-20170630-______S-00,Glenville - Fairview Road - Carnmoney - City Centre,0
MET-4A,MET-0515-2,20160901-20170630-_MTWHF_-00,Ballybeen - Dundonald - City Centre,0
MET-4A,MET-0515-3,20160901-20170630-______S-00,Ballybeen - Dundonald - City Centre,0
MET-12A,MET-0517-0,20160901-20170630-_MTWHF_-00,City Centre - Carr's Glen,1
MET-12A,MET-0517-1,20160901-20170630-______S-00,City Centre - Carr's Glen,1
MET-2A,MET-0520-0,20160901-20170630-_MTWHF_-00,Fairview Road - City Centre,0
MET-2A,MET-0520-1,20160901-20170630-______S-00,Fairview Road - City Centre,0
MET-5B,MET-0520-2,20160901-20170630-_MTWHF_-00,Braniel - City Centre,0
MET-5B,MET-0520-3,20160901-20170630-______S-00,Braniel - City Centre,0
MET-9C,MET-0520-4,20160901-20170630-_MTWHF_-00,Conway - Balmoral (Sicily Park) - City Centre,0
MET-11D,MET-0520-5,20160901-20170630-_MTWHF_-00,Glencairn - Springmartin - City Centre,0
MET-11D,MET-0520-6,20160901-20170630-______S-00,Glencairn - Springmartin - City Centre,0
MET-81,MET-0520-7,20160901-20170630-_MTWHF_-00,Hannahstown Hill - Glen Road - Turf Lodge - City Centre,0
